1;1;2014-09-20 16:00;1;7;0;NULL;4;2
2;1;2014-10-04 17:00;1;8;1; ;1;3
3;1;2014-10-11 15:15;1;10;0; ;2;2
4;1;2014-11-08 17:00;1;5;1; ;3;0
5;1;2014-11-22 16:30;1;9;0; ;3;1
6;1;2014-11-29 16:30;1;6;0; ;3;2
7;1;2014-12-06 17:00;1;3;1; ;1;2
8;1;2014-12-13 16:00;1;4;0; ;0;0
9;1;2015-01-10 17:00;1;2;1; ;0;0
10;1;2015-02-07 15:00;1;2;0; ;0;0
11;1;2015-02-14 17:00;1;7;1; ;0;0
12;1;2015-03-14 17:00;1;8;0; ;0;0
13;1;2015-03-21 17:00;1;10;1; ;0;0
14;1;2015-03-28 15:30;1;5;0; ;0;0
15;1;2015-04-11 17:00;1;9;1; ;0;0
16;1;2015-04-18 17:00;1;6;1; ;0;0
17;1;2015-05-16 15:15;1;3;0; ;0;0
18;1;2015-05-30 17:00;1;4;1; ;0;0
